Timestamp,Values,Type
2024-06-29 22:01:00,47,Low
2024-06-29 22:02:00,48,Peak
2024-06-29 22:10:00,46,Peak
2024-06-29 22:10:00,45,Low
2024-06-29 22:21:00,42,Low
2024-06-29 22:21:00,43,Peak
2024-06-29 22:34:00,40,Peak
2024-06-29 22:34:00,39,Low
2024-06-29 23:19:00,34,Peak
2024-06-29 23:19:00,33,Low
2024-06-29 23:24:00,33,Peak
2024-06-29 23:24:00,32,Low
2024-06-29 23:29:00,32,Low
2024-06-30 00:28:00,66,Low
2024-06-30 00:28:00,67,Peak
2024-06-30 00:34:00,70,Peak
2024-06-30 00:34:00,69,Low
2024-06-30 00:41:00,73,Peak
2024-06-30 00:41:00,72,Low
2024-06-30 00:45:00,75,Peak
2024-06-30 00:45:00,74,Low
2024-06-30 00:50:00,76,Low
2024-06-30 00:51:00,78,Peak
2024-06-30 00:54:00,79,Peak
2024-06-30 00:54:00,78,Low
2024-06-30 03:00:00,100,Peak
2024-06-30 04:39:00,98,Low
2024-06-30 04:39:00,99,Peak
2024-06-30 05:00:00,95,Low
2024-06-30 05:00:00,96,Peak
2024-06-30 05:46:00,92,Peak
2024-06-30 05:46:00,91,Low
2024-06-30 06:06:00,88,Low
2024-06-30 06:06:00,89,Peak
2024-06-30 06:16:00,87,Low
2024-06-30 06:16:00,88,Peak
2024-06-30 06:27:00,86,Peak
2024-06-30 06:27:00,85,Low
2024-06-30 06:49:00,82,Low
2024-06-30 06:49:00,83,Peak
2024-06-30 06:53:00,81,Low
2024-06-30 06:53:00,82,Peak
2024-06-30 07:22:00,75,Low
2024-06-30 07:22:00,76,Peak
2024-06-30 07:37:00,71,Low
2024-06-30 07:37:00,72,Peak
2024-06-30 07:41:00,70,Low
2024-06-30 07:41:00,71,Peak
2024-06-30 07:48:00,68,Low
2024-06-30 07:48:00,69,Peak
2024-06-30 07:52:00,68,Peak
2024-06-30 07:52:00,67,Low
2024-06-30 07:57:00,67,Peak
2024-06-30 07:57:00,66,Low
2024-06-30 08:07:00,65,Peak
2024-06-30 08:07:00,64,Low
2024-06-30 08:15:00,62,Low
2024-06-30 08:15:00,63,Peak
2024-06-30 08:27:00,60,Peak
2024-06-30 08:27:00,59,Low
2024-06-30 08:33:00,57,Low
2024-06-30 08:33:00,58,Peak
2024-06-30 08:36:00,57,Peak
2024-06-30 08:36:00,56,Low
2024-06-30 08:49:00,52,Low
2024-06-30 08:49:00,53,Peak
2024-06-30 09:05:00,47,Low
2024-06-30 09:05:00,48,Peak
2024-06-30 09:13:00,44,Low
2024-06-30 10:28:00,91,Peak
2024-06-30 10:43:00,85,Low
2024-06-30 10:43:00,86,Peak
2024-06-30 10:46:00,85,Peak
2024-06-30 10:46:00,84,Low
2024-06-30 10:51:00,84,Peak
2024-06-30 10:51:00,83,Low
2024-06-30 10:57:00,81,Low
2024-06-30 10:57:00,82,Peak
2024-06-30 11:19:00,73,Low
2024-06-30 11:19:00,74,Peak
2024-06-30 11:32:00,68,Low
2024-06-30 11:32:00,69,Peak
2024-06-30 11:38:00,66,Low
2024-06-30 11:39:00,67,Peak
2024-06-30 11:48:00,63,Low
2024-06-30 11:48:00,64,Peak
2024-06-30 11:56:00,62,Peak
2024-06-30 11:56:00,61,Low
2024-06-30 12:02:00,60,Peak
2024-06-30 12:02:00,59,Low
2024-06-30 12:05:00,58,Low
2024-06-30 12:05:00,59,Peak
2024-06-30 12:13:00,55,Peak
2024-06-30 12:13:00,54,Low
2024-06-30 12:21:00,51,Low
2024-06-30 12:21:00,52,Peak
2024-06-30 12:27:00,48,Low
2024-06-30 12:28:00,49,Peak
2024-06-30 12:35:00,46,Peak
2024-06-30 12:37:00,44,Low
2024-06-30 12:43:00,42,Low
2024-06-30 12:43:00,43,Peak
2024-06-30 12:47:00,41,Low
2024-06-30 12:47:00,42,Peak
2024-06-30 12:59:00,39,Peak
2024-06-30 12:59:00,38,Low
2024-06-30 13:05:00,37,Peak
2024-06-30 13:05:00,36,Low
2024-06-30 13:11:00,35,Low
2024-06-30 13:11:00,36,Peak
2024-06-30 13:19:00,34,Peak
2024-06-30 13:19:00,33,Low
